Coin X, Coin Y,Volume Coin X,Volume Coin Y,Updated,Spread,Strategy,normalised spread (ZSCORE),Rolling ZScore,Profile (Clustering Analysis),X | Y (Conditional Likelihood),Y | X (Conditional Likelihood),Copula-based Correlation,Cointegration Jn (Johansen Test),Cointegration EG (Engle-Granger Test),Hurst Exponent,Half Life,0sigma,2sigma,Coin X Annualized Volatility,Coin Y Annualized Volatility,VaR (Value at Risk @ 99%),CVaR (Conditional Value at Risk @ 99%),MDD (Maximum Drawdown),Net Return (Net Backtest Return),Sharpe (Sharpe Ratio)
SOLUSDC,STEEMUSDT,502.5K,214.1K,2025-Feb-11 00:15:06 UTC,Not applicable,Copula,0.28,0.57,false,86.5%,16.8%,26.1%,false,true,0.52,1.1,92,14,83.2%,123.9%,-5.5%,-6.8%,-23.5%,27.1%,0.80
WLDUSDT,XVSUSDT,1.5M,183.7K,2025-Feb-12 00:14:08 UTC,Dynamic - Kalman Filter,Spread,-0.10,1.10,false,0.8%,92.8%,84.0%,false,true,0.78,9.7,28,6,143.1%,99.7%,-2.6%,-4.7%,-9.1%,27.1%,1.27
DOTUSDT,SFPUSDT,945.3K,44.0K,2025-Feb-12 00:06:19 UTC,Not applicable,Copula,-0.95,0.23,true,51.1%,4.7%,34.1%,false,true,0.99,7.3,26,8,96.0%,76.0%,-0.6%,-1.0%,-3.1%,26.5%,2.16
TIAUSDT,WOOUSDT,29.2K,782,2025-Feb-11 00:00:18 UTC,Not applicable,Copula,-0.75,-0.13,true,29.9%,29.9%,88.5%,false,true,1.09,5.7,40,7,120.2%,106.5%,-5.1%,-12.9%,-17.0%,26.4%,0.65
GALAUSDT,ZRXUSDT,852.0K,105.1K,2025-Feb-11 00:08:42 UTC,Not applicable,Copula,-0.76,-0.51,true,81.5%,12.7%,94.3%,false,true,0.75,7.2,36,2,123.2%,131.5%,-7.0%,-20.7%,-37.0%,26.2%,0.42
FXSUSDT,STORJUSDT,103.4K,127.5K,2025-Feb-12 00:14:15 UTC,Not applicable,Copula,-1.39,-0.08,false,10.9%,38.0%,63.4%,true,false,0.92,9.4,36,8,116.9%,102.3%,-6.1%,-13.6%,-30.3%,25.3%,0.50
BADGERUSDT,MTLUSDT,52.6K,107.6K,2025-Feb-11 00:17:08 UTC,Not applicable,Copula,-1.32,-0.19,false,96.6%,2.0%,91.2%,true,false,1.26,9.9,27,5,13.5%,91.7%,-8.2%,-25.0%,-42.4%,25.0%,0.26
SEIUSDT,TIAUSDT,336.7K,241.4K,2025-Feb-12 00:02:28 UTC,Not applicable,Copula,1.35,1.23,true,13.0%,29.2%,65.4%,false,false,0.87,7.2,40,7,114.6%,120.0%,-4.1%,-6.1%,-11.2%,24.9%,0.84
AXSUSDT,KSMUSDT,283.0K,63.8K,2025-Feb-12 00:16:24 UTC,Static AutoRegressive Moving Average,Spread,1.46,-0.06,false,0.9%,94.4%,72.4%,false,false,0.85,7.3,20,4,81.8%,109.5%,-3.3%,-9.2%,-17.6%,24.9%,0.64
PENDLEUSDT,RSRUSDT,2.2M,280.7K,2025-Feb-12 00:16:48 UTC,Not applicable,Copula,-0.59,-1.19,false,15.6%,80.1%,33.4%,false,true,0.76,7.0,24,4,121.8%,149.9%,0.0%,-0.9%,-2.5%,24.7%,1.81
AVAXUSDT,HBARUSDT,2.0M,1.7M,2025-Feb-12 00:08:56 UTC,Not applicable,Copula,-0.41,-1.10,true,1.9%,98.0%,68.7%,false,true,0.72,4.7,24,8,95.3%,127.9%,-2.2%,-4.4%,-10.8%,24.6%,0.79
EGLDUSDT,INJUSDT,41.7K,267.9K,2025-Feb-12 00:03:51 UTC,Ornstein-Uhlenbeck,Spread,-1.29,-0.80,true,40.0%,18.3%,73.3%,true,true,0.89,8.7,34,8,71.4%,107.5%,-7.0%,-10.4%,-10.5%,24.6%,0.79
MASKUSDT,STORJUSDT,71.6K,55.7K,2025-Feb-12 00:02:56 UTC,Not applicable,Copula,-1.32,-0.33,true,85.9%,3.0%,70.1%,true,true,0.91,7.5,37,6,96.0%,102.3%,-4.5%,-9.9%,-14.1%,24.5%,0.75
MASKUSDT,STORJUSDT,71.6K,55.7K,2025-Feb-12 00:02:56 UTC,Static AutoRegressive Moving Average,Spread,-1.69,-0.42,true,85.9%,3.0%,70.1%,true,true,1.01,7.4,31,4,96.0%,102.3%,-1.6%,-4.1%,-7.9%,24.5%,1.24
